"Category","Defect Cause","Earliest Detection","Auto Detection","Detection Method","AI Improvement","Systemic Correction"
"Product & Discovery","Building the wrong thing","Discovery","Production","Adoption dashboards (Amplitude; Mixpanel); funnel drop-off alerts; usage thresholds on <X% adoption after N days","Synthesize user feedback; support tickets; and usage data to surface misalignment signals earlier than production metrics","Validated user research before backlog entry; dual-track agile; kill features that miss adoption thresholds"
"Product & Discovery","Solving a problem nobody has","Discovery","Production","Ticket topic clustering vs. feature investment; survey correlation with releases; feature request tracking","Semantic analysis of interview transcripts; forums; and tickets to identify actual vs. assumed pain","Problem validation as a stage gate; publish problem brief before solution brief; quantify user pain"
"Product & Discovery","Correct problem; wrong solution","Discovery","Production","A/B testing frameworks; feature flag cohort comparison; statistical significance calculators; task completion tracking","Evaluate prototypes against problem definitions; generate alternative solution approaches","Prototype multiple approaches; measurable success criteria before building; experiment with flags first"
"Product & Discovery","Meets spec but misses user intent","Requirements","Production","UX analytics (FullStory; Hotjar); rage-click and error-loop detection; task completion rate tracking","Review acceptance criteria for missing user outcomes; analyze session replays at scale for frustration patterns","Acceptance criteria as user outcomes; not functional checklists; regular usability testing cadence"
"Product & Discovery","Over-engineering beyond need","Design","CI","Static analysis for dead code and unused abstractions (SonarQube; ESLint); complexity scoring; LOC per feature","Flag unnecessary abstraction layers; premature optimization; and complexity vs. actual requirements in code review","YAGNI as team norm; time-box spikes; justify every abstraction layer; review architecture vs. actual scale quarterly"
"Product & Discovery","Prioritizing wrong work","Discovery","Production","DORA metrics vs. business outcomes; WSJF scoring; cost of delay dashboards; capacity vs. outcome tracking","Synthesize roadmap; customer data; and market signals to surface opportunity cost","WSJF for prioritization; regular portfolio reviews with outcome data; publish what you chose NOT to do"
"Integration & Boundaries","Interface mismatches","CI","CI","Consumer-driven contract tests (Pact); schema validation (OpenAPI; protobuf/buf); API compat checks per PR","Predict which consumers break from API changes based on usage patterns when formal contracts don't exist","Contract tests mandatory per boundary; API-first with generated clients; version + migration plan before merge"
"Integration & Boundaries","Wrong assumptions about upstream/downstream","Design","Staging","Chaos engineering (Gremlin; Litmus); synthetic transactions; fault injection; circuit breaker monitoring","Review code/docs to identify undocumented behavioral assumptions (timeouts; retries; error semantics)","Document behavioral contracts; not just schemas; defensive coding at boundaries; circuit breakers as default"
"Integration & Boundaries","Race conditions","Pre-Commit","Pre-Commit","Thread sanitizers (TSan); race detectors; TLA+; fuzz testing; load testing with concurrency","Limited: Can flag concurrency anti-patterns in review but cannot replace formal detection tools","Design for idempotency; queues over shared mutable state; lock ordering conventions; concurrency review checklist"
"Integration & Boundaries","Inconsistent distributed state","Design","Staging","Distributed tracing (Jaeger/Zipkin); reconciliation jobs; saga completion monitoring; anomaly detection","Review designs for missing compensation logic or consistency model mismatches","Choose consistency model deliberately per use case; saga with compensating transactions; event sourcing"
